datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
2006-04-25,861.0124,99832.9301,35.1,100693.9425,5.42763197509e-05,1.006939425,-0.00250325820658
2006-04-26,886.7764,99832.9301,35.1,100719.7065,0.000255864447854,1.007197065,-0.0022480342535
2006-04-27,902.5211,99832.9301,35.1,100735.4512,0.000156321940831,1.007354512,-0.00209206372975
2006-04-28,915.9236,99832.9301,35.1,100748.8537,0.000133046507861,1.007488537,-0.00195929556366
2006-05-01,905.644,99832.9301,35.1,100738.5741,-0.000102031930116,1.007385741,-0.00206112758307
2006-05-02,931.9285,99832.9301,35.1,100764.8586,0.000260917927763,1.007648586,-0.00180074744044
2006-05-03,925.6827,99832.9301,35.1,100758.6128,-6.19839107281e-05,1.007586128,-0.0018626197338
2006-05-04,925.5525,99832.9301,35.1,100758.4826,-1.29219722644e-06,1.007584826,-0.00186390952416
2006-05-05,935.4418,99832.9301,35.1,100768.3719,9.81485602483e-05,1.007683719,-0.00176594390395
2006-05-08,935.4418,99832.9301,35.1,100768.3719,0.0,1.007683719,-0.00176594390395
2006-05-09,924.2513,99832.9301,35.1,100757.1814,-0.000111051709867,1.007571814,-0.00187679950272
2006-05-10,918.6561,99832.9301,35.1,100751.5862,-5.5531525617e-05,1.007515862,-0.0019322268068
2006-05-11,886.7764,99832.9301,35.1,100719.7065,-0.000316418839667,1.007197065,-0.0022480342535
2006-05-12,880.921,99832.9301,35.1,100713.8511,-5.81355943486e-05,1.007138511,-0.00230603915704
2006-05-15,882.0921,99832.9301,35.1,100715.0222,1.16279934408e-05,1.007150222,-0.00229443797821
2006-05-16,845.528,99832.9301,35.1,100678.4581,-0.000363045146606,1.006784581,-0.00265665014025
2006-05-17,849.1714,99832.9301,35.1,100682.1015,3.61884763509e-05,1.006821015,-0.00262055780402
2006-05-18,822.1061,99832.9301,35.1,100655.0362,-0.000268819378984,1.006550362,-0.00288867272628
2006-05-19,839.4123,99832.9301,35.1,100672.3424,0.000171935758541,1.006723424,-0.00271723363387
2006-05-22,824.7086,99832.9301,35.1,100657.6387,-0.000146055010239,1.006576387,-0.00286289177853
2006-05-23,821.7157,99832.9301,35.1,100654.6458,-2.97334612519e-05,1.006546458,-0.0028925401161
2006-05-24,824.1881,99832.9301,35.1,100657.1182,2.45631980555e-05,1.006571182,-0.00286804796808
2006-05-25,837.0701,99832.9301,35.1,100670.0002,0.000127979026525,1.006700002,-0.00274043599154
2006-05-26,826.9206,99832.9301,35.1,100659.8507,-0.000100819509087,1.006598507,-0.00284097921121
2006-05-30,796.6024,99832.9301,35.1,100629.5325,-0.000301194565551,1.006295325,-0.00314131808927
2006-05-31,777.7348,99832.9301,35.1,100610.6649,-0.000187495653922,1.006106649,-0.0033282247597
2006-06-01,808.9639,99832.9301,35.1,100641.894,0.000310395523487,1.00641894,-0.00301886230228
2006-06-02,802.3278,99832.9301,35.1,100635.2579,-6.5937749542e-05,1.006352579,-0.00308460099483
2006-06-05,780.7276,99832.9301,35.1,100613.6577,-0.000214638492023,1.006136577,-0.00329857741275
2006-06-06,777.0842,99832.9301,35.1,100610.0143,-3.62117836016e-05,1.006100143,-0.00333466974898
2006-06-07,761.9901,99832.9301,35.1,100594.9202,-0.000150025821038,1.005949202,-0.00348419528345
2006-06-08,790.6168,99832.9301,35.1,100623.5469,0.00028457401172,1.006235469,-0.00320061278316
2006-06-09,770.8384,99832.9301,35.1,100603.7685,-0.0001965583664,1.006037685,-0.00339654204234
2006-06-12,741.6912,99832.9301,35.1,100574.6213,-0.000289722745326,1.005746213,-0.00368528073218
2006-06-13,758.9973,99832.9301,35.1,100591.9274,0.000172072236279,1.005919274,-0.0035138426304
2006-06-14,749.6286,99832.9301,35.1,100582.5587,-9.31357042474e-05,1.005825587,-0.00360665107044
2006-06-15,772.66,99832.9301,35.1,100605.5901,0.000228980056758,1.006055901,-0.00337849686485
2006-06-16,748.978,99832.9301,35.1,100581.9081,-0.000235394474367,1.005819081,-0.00361309605972
2006-06-19,744.2936,99832.9301,35.1,100577.2237,-4.65729880104e-05,1.005772237,-0.00365950077505
2006-06-20,747.8069,99832.9301,35.1,100580.737,3.49313678658e-05,1.00580737,-0.00362469723855
2006-06-21,752.8817,99832.9301,35.1,100585.8118,5.04549892093e-05,1.005858118,-0.00357442513341
2006-06-22,0.0,100584.5118,36.4,100584.5118,-1.29242879959e-05,1.005845118,-0.0035873032245
2006-06-23,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-06-26,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-06-27,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-06-28,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-06-29,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-06-30,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-03,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-05,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
2006-07-06,0.0,100584.5118,36.4,100584.5118,0.0,1.005845118,-0.0035873032245
